TIdx,Time,NCells_S,NCells_R,NCells,DrugConcentration,rS,rR,mS,mR,dS,dR,dD,dt,NCycles,NAttemptedDivs,NFailedDivs,NDeaths,ReplicateId,InitSize,RFrac,TxName,Cost
0.0,0.0,5681.0,219.0,5900.0,0.0,0.027,0.013229957492946809,0.0,0.0,0.01067241644812723,0.01067241644812723,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.59,0.037,0.0,0.5100015743353034
1.0,1.0,5553.0,220.0,5773.0,1.0,0.027,0.013229957492946809,0.0,0.0,0.01067241644812723,0.01067241644812723,0.75,1.0,0.0,4.0,0.0,3.0,1.0,0.59,0.037,0.0,0.5100015743353034
2.0,2.0,5429.0,219.0,5648.0,1.0,0.027,0.013229957492946809,0.0,0.0,0.01067241644812723,0.01067241644812723,0.75,1.0,0.0,1.0,0.0,2.0,1.0,0.59,0.037,0.0,0.5100015743353034
3.0,3.0,5305.0,219.0,5524.0,1.0,0.027,0.013229957492946809,0.0,0.0,0.01067241644812723,0.01067241644812723,0.75,1.0,0.0,3.0,1.0,2.0,1.0,0.59,0.037,0.0,0.5100015743353034
4.0,4.0,5190.0,220.0,5410.0,1.0,0.027,0.013229957492946809,0.0,0.0,0.01067241644812723,0.01067241644812723,0.75,1.0,0.0,3.0,0.0,2.0,1.0,0.59,0.037,0.0,0.5100015743353034
5.0,5.0,5071.0,218.0,5289.0,1.0,0.027,0.013229957492946809,0.0,0.0,0.01067241644812723,0.01067241644812723,0.75,1.0,0.0,3.0,0.0,5.0,1.0,0.59,0.037,0.0,0.5100015743353034
6.0,6.0,4947.0,218.0,5165.0,1.0,0.027,0.013229957492946809,0.0,0.0,0.01067241644812723,0.01067241644812723,0.75,1.0,0.0,3.0,0.0,3.0,1.0,0.59,0.037,0.0,0.5100015743353034
7.0,7.0,4849.0,219.0,5068.0,1.0,0.027,0.013229957492946809,0.0,0.0,0.01067241644812723,0.01067241644812723,0.75,1.0,0.0,3.0,0.0,2.0,1.0,0.59,0.037,0.0,0.5100015743353034
8.0,8.0,4759.0,219.0,4978.0,1.0,0.027,0.013229957492946809,0.0,0.0,0.01067241644812723,0.01067241644812723,0.75,1.0,0.0,1.0,0.0,1.0,1.0,0.59,0.037,0.0,0.5100015743353034
9.0,9.0,4659.0,220.0,4879.0,1.0,0.027,0.013229957492946809,0.0,0.0,0.01067241644812723,0.01067241644812723,0.75,1.0,0.0,5.0,0.0,4.0,1.0,0.59,0.037,0.0,0.5100015743353034
